ident,name,lat,long,elev,cou
00AA,Aero B Ranch Airport,38.704022,-101.473911,3435,US
00AK,Lowell Field,59.947733,-151.692524,450,US
00AL,Epps Airpark,34.86479949951172,-86.77030181884766,820,US
00AR,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237,US
00AS,Fulton Airport,34.9428028,-97.8180194,1100,US
00AZ,Cordes Airport,34.305599212646484,-112.16500091552734,3810,US
00CA,Goldstone (GTS) Airport,35.35474,-116.885329,3038,US
00CL,Williams Ag Airport,39.427188,-121.763427,87,US
00CN,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350,US
00CO,Cass Field,40.622202,-104.344002,4830,US
00FA,Grass Patch Airport,28.64550018310547,-82.21900177001953,53,US
00FD,Ringhaver Heliport,28.846599578857422,-82.34539794921875,25,US
00FL,River Oak Airport,27.230899810791016,-80.96920013427734,35,US
00GA,Lt World Airport,33.76750183105469,-84.06829833984375,700,US
00GE,Caffrey Heliport,33.889245,-84.73793,957,US
00HI,Kaupulehu Heliport,19.832715,-155.980233,43,US
00ID,Delta Shores Airport,48.145301818847656,-116.21399688720703,2064,US
00IG,Goltl Airport,39.724028,-101.395994,3359,US
00II,Bailey Generation Station Heliport,41.644501,-87.122803,600,US
00IL,Hammer Airport,41.97840118408203,-89.5604019165039,840,US
00IN,St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,634,US
00IS,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820,US
00KS,Hayden Farm Airport,38.72779846191406,-94.93049621582031,1100,US
00KY,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265,US
00LA,Shell Chemical East Site Heliport,30.191944,-90.980833,15,US
00LL,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600,US
00LS,Lejeune Airport,30.136299,-92.429398,12,US
00MD,Slater Field,38.75709915161133,-75.75379943847656,45,US
00MI,Dow Chemical Heliport,43.94940185546875,-86.41670227050781,588,US
00MN,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365,US
00MO,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970,US
00MT,Livingston Healthcare Heliport,45.675,-110.52515,4465,US
00NC,North Raleigh Airport,36.085201263427734,-78.37139892578125,348,US
00NJ,Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,78,US
00NK,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96,US
00NY,Weiss Airfield,42.90010070800781,-77.49970245361328,1000,US
00OH,Exit 3 Airport,41.590476,-84.141583,785,US
00OI,Miami Valley Hospital Heliport,39.74530029296875,-84.1874008178711,905,US
00OK,Gull Bay Landing Airport,36.198598,-96.217693,960,US
00OR,Steel Systems Heliport,44.932899475097656,-123.12999725341797,195,US
00PA,R J D Heliport,39.94889831542969,-75.74690246582031,402,US
00PN,Ferrell Field,41.2995,-80.211111,1301,US
00PS,Thomas Field,40.3778,-77.365303,815,US
00SC,Flying O Airport,34.0093994140625,-80.26719665527344,150,US
00SD,Homan Field,44.809158,-96.498897,1590,US
00TA,SW Region FAA Heliport,32.8269,-97.305801,598,US
00TE,Tcjc-Northeast Campus Heliport,32.847599029541016,-97.18949890136719,600,US
00TN,Ragsdale Road Airport,35.515899658203125,-85.95359802246094,1100,US
00TS,Alpine Range Airport,32.607601165771484,-97.24199676513672,670,US
00TX,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,19,US
00UT,Clear Creek Ranch Airport,37.247799,-112.821998,6138,US
00VA,Vaughan Airport,36.57600021,-78.9991684,551,US
00VI,Groundhog Mountain Airport,36.663299560546875,-80.49949645996094,2680,US
00WA,Howell Airport,47.17839813232422,-122.77200317382812,150,US
00WI,Northern Lite Airport,44.304298400878906,-89.05010223388672,860,US
00WN,Hawks Run Airport,46.25,-117.2490005493164,2900,US
00WV,Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,2060,US
00WY,Mountain View Regional Hospital Heliport,42.840361,-106.224443,5210,US
00XS,L P Askew Farms Airport,33.03340148925781,-101.93399810791016,3110,US
01AK,Providence Seward Medical Center Heliport,60.105873975399994,-149.446249008,120,US
01AL,Ware Island Airport,32.94599914550781,-86.51390075683594,344,US
01AR,DeQueen Medical Center Heliport,34.047456,-94.354023,440,US
01AZ,Yat Heliport,34.607406,-111.8609,3300,US
01CA,SCE Lugo Substation Heliport,34.368241,-117.370059,3733,US
01CL,Swansboro Country Airport,38.79990005493164,-120.73400115966797,2594,US
01CN,Los Angeles County Sheriff's Department Heliport,34.03779983520508,-118.15399932861328,300,US
01CO,St Vincent General Hospital Heliport,39.24530029296875,-106.24600219726562,10175,US
01CT,Berlin Fairgrounds Heliport,41.62730026245117,-72.72750091552734,60,US
01FA,Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,55,US
01FD,Advent Health Altamonte Springs Heliport,28.666639,-81.3697,86,US
01FL,Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,19,US
01GA,Medical Center Heliport,32.47930145263672,-84.9791030883789,319,US
01GE,The Farm Airport,32.674400329589844,-82.77110290527344,375,US
01IA,Stender Airport,41.66109848022461,-90.74130249023438,725,US
01ID,Lava Hot Springs Airport,42.6082,-112.031998,5268,US
01II,Myers Field,39.8849983215332,-86.50669860839844,950,US
01IL,Hoopeston Community Memorial Hospital Heliport,40.45859909057617,-87.65950012207031,583,US
01IN,Community Hospital Heliport,40.13090133666992,-85.69580078125,890,US
01IS,William E. Koenig Airport,39.01620101928711,-90.31819915771484,670,US
01KS,Flying N Ranch Airport,38.54059982299805,-97.00330352783203,1485,US
01KY,Lourdes Hospital Heliport,37.051700592041016,-88.64689636230469,419,US
01LA,Barham Airport,32.638999938964844,-91.77369689941406,90,US
01LL,Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,555,US
01LS,Country Breeze Airport,30.722478,-91.077372,125,US
01MA,Compaq Andover Heliport,42.625099182128906,-71.18009948730469,140,US
01ME,Saint Peter's Seaplane Base,46.778900146484375,-68.50029754638672,608,US
01MI,Flow Through Terminal Heliport,43.04949951171875,-83.67970275878906,736,US
01MN,Barnes Seaplane Base,47.899600982666016,-92.55740356445312,1358,US
01MO,Highway Patrol Troop C Headquarters Heliport,38.641700744628906,-90.48429870605469,615,US
01MT,Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341797,3141,US
01NC,Topsail Airpark,34.47529983520508,-77.5813980102539,65,US
01NE,Detour Airport,40.84360122680664,-100.65299987792969,3000,US
01NH,Moore Airfield,43.6445,-72.086998,835,US
01NJ,Albert Guido Memorial Heliport,40.741798400878906,-74.13710021972656,10,US
01NM,Champion Ranch Airport,33.008611,-104.540278,3630,US
01NV,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600,US
01NY,Vassar Hospital Heliport,41.692415,-73.93683,100,US
01OH,Atrium Medical Center Heliport,39.497455,-84.313851,775,US
01OI,Avita Health System Galion Hospital Heliport,40.730267,-82.802022,1140,US
01OK,Lawrence Airport,35.294498,-98.636496,1525,US
01OL,Spring Creek Ranch East Airport,34.391667,-96.690833,1060,US
01OR,Red & White Flying Service Airport,43.119301,-121.044997,4346,US
01PA,Pine Heliport,40.655602,-80.050903,1215,US
01PN,Bierly(Personal Use) Airport,40.930599212646484,-77.73889923095703,960,US
01PS,Nort's Resort Airport,41.59590148925781,-76.02960205078125,1040,US
01SC,York Airport,35.032100677490234,-81.25279998779297,779,US
01TA,Thirty Thirty Matlock Office Center Heliport,32.69419860839844,-97.11579895019531,630,US
01TE,Smith Field,32.73759841918945,-96.4280014038086,505,US
01TN,Colonial Air Park,34.99589920043945,-89.73059844970703,370,US
01TS,St Joseph Hospital Heliport,32.7285,-97.324501,675,US
01TT,Clute Fire & EMS Station #1 Heliport,29.012067,-95.402119,7,US
01TX,Mims Farm Ultralightport,32.388115,-96.877398,610,US
01UT,La Sal Junction Airport,38.30830001831055,-109.39600372314453,6000,US
01VA,Pickles Airport,39.125,-77.9250030518,500,US
01WA,Willapa Harbor Heliport,46.66320037841797,-123.81199645996094,154,US
01WI,Prehn Cranberry Company Airport,44.0099983215332,-90.38919830322266,930,US
01WN,Whidbey General Hospital Heliport,48.213401794433594,-122.68499755859375,103,US
01WT,Odyssey Heliport,47.518178,-122.210908,20,US
01WY,Keyhole Airport,44.347198486328125,-104.81099700927734,4250,US
01XA,Ascension Seton Hays Heliport,30.007222,-97.853333,715,US
01XS,Meadowood Ranch Heliport,32.020198822021484,-95.74549865722656,500,US
02AA,Barefoot Airport,61.506147,-149.912825,160,US
02AK,Rustic Wilderness Airport,61.876907,-150.097626,190,US
02AL,Bass Field,30.37150001525879,-87.76439666748047,61,US
02AR,Three Rivers Airport,34.822445,-92.44442,264,US
02AZ,Winchester Farm Airstrip,32.376401,-109.936996,4200,US
02CA,Swepi Beta Platform Ellen Heliport,33.58250045776367,-118.12899780273438,122,US
02CD,Shannon Field,34.129600524902344,-90.52400207519531,165,US
02CL,Conover Air Lodge Airport,34.761101,-119.058998,5160,US
02CO,Mc Cullough Airport,37.64329910279999,-106.04699707,7615,US
02CT,Strangers Point Heliport,41.91960144042969,-72.44450378417969,540,US
02FA,Osborn Airfield,28.52669906616211,-81.87480163574219,121,US
02FD,Triple R Ranch Airport,30.950976,-86.635555,209,US
02FL,Cuchens Airport,30.642527,-86.118779,215,US
02GA,Doug Bolton Field,34.202598571777344,-83.42900085449219,884,US
02GE,Etowah Fields Airport,34.17530059814453,-84.92440032958984,710,US
02HI,K3 Helipad Heliport,21.36199951171875,-157.9510040283203,9,US
02IA,Boone County Hospital Heliport,42.05609893798828,-93.87799835205078,1160,US
02ID,Morgan Ranch Airport,44.55550003051758,-115.30500030517578,5634,US
02II,King Ultralightport,40.06230163574219,-86.21050262451172,925,US
02IN,Diamond P. Field,40.208900451660156,-85.54080200195312,904,US
02IS,Condell Medical Center Heliport,42.274600982666016,-87.9572982788086,762,US
02KS,Jmj Landing Airport,39.222198486328125,-96.0552978515625,1170,US
02KT,St Claire Healthcare Heliport,38.181441,-83.443319,781,US
02KY,Boone National Guard Heliport,38.190282,-84.906442,760,US
02LA,La State Police Troop G Heliport,32.53129959106445,-93.66020202636719,168,US
02LS,Windy Hill Heliport,30.148300170898438,-91.91899871826172,25,US
02MA,Cuttyhunk Heliport,41.419601,-70.927002,9,US
02MD,Garner Field,38.672544,-76.709739,141,US
02ME,Nadeau's Airfield,43.537467,-70.930685,700,US
02MI,Fairplains Airpark,43.157100677490234,-85.14849853515625,850,US
02MN,Greenbush Municipal Airport,48.686527,-96.191976,1070,US
